#Episode,#Frame,#Epsode Timesteps,Total episode score,Last Mean Batch Loss
508,36943,120,119.0,19.960876173973084
509,37052,109,108.0,15.48529109597206
510,37159,107,106.0,16.228073538541793
511,37248,89,88.0,19.161210919618608
512,37488,240,239.0,47.738005349636076
513,37705,217,216.0,55.71263444066048
514,37839,134,133.0,21.41929591834545
515,37964,125,124.0,16.54570179283619
516,37978,14,13.0,1.2292339992523194
517,38038,60,59.0,6.85975674033165
518,38505,467,466.0,34.79331464767456
519,38517,12,11.0,0.7082836842536926
520,38617,100,99.0,21.885321345329285
521,38788,171,170.0,26.825080175995826
522,38930,142,141.0,26.628051691651343
523,39149,219,218.0,28.654748814105986
524,39613,464,463.0,22.93243695139885
525,39633,20,19.0,4.389649314880371
526,39673,40,39.0,3.646377878189087
527,39747,74,73.0,13.601135080456734
528,39999,252,251.0,31.65734460771084
529,40257,258,257.0,15.284298415780068
530,40392,135,134.0,26.243214297294617
531,40529,137,136.0,20.94264522910118
532,40650,121,120.0,28.288334797620774
533,40772,122,121.0,17.295786164999008
534,40873,101,100.0,22.18973825931549
535,40983,110,109.0,19.63582601904869
536,41083,100,99.0,16.520688771009446
537,41176,93,92.0,13.01103351354599
538,41652,476,475.0,31.646202508807182
539,41861,209,208.0,25.336788120865823
540,42058,197,196.0,31.252374843358993
541,42179,121,120.0,22.401973764896393
542,42317,138,137.0,16.108145192861556
543,42441,124,123.0,16.458070002794265
544,42547,106,105.0,16.484114648103713
545,42663,116,115.0,22.619817754030226
546,42827,164,163.0,25.79057917237282
547,42941,114,113.0,19.595438640117646
548,43072,131,130.0,23.508735814094543
549,43227,155,154.0,28.791017679572107
550,43523,296,295.0,42.720961009263995
551,43952,429,428.0,31.831855199337006
552,44122,170,169.0,37.21117773175239
553,44274,152,151.0,31.74821613073349
554,44425,151,150.0,33.04093222260475
555,44509,84,83.0,15.730846325159073
556,44534,25,24.0,4.4291489219665525
557,44645,111,110.0,26.95043203830719
558,44751,106,105.0,19.695528903007506
559,44903,152,151.0,28.666433767080306
560,45157,254,253.0,30.675899655222892
561,45468,311,310.0,29.524084881544113
562,45602,134,133.0,11.148589369058609
563,45720,118,117.0,29.784155381917955
564,45830,110,109.0,25.826462421417236
565,45931,101,100.0,17.28115716278553
566,46049,118,117.0,22.666432863473894
567,46069,20,19.0,1.4588789057731628
568,46159,90,89.0,15.68448382973671
569,46261,102,101.0,9.346918705701828
570,46374,113,112.0,13.011929934024812
571,46406,32,31.0,7.182567553520203
572,48470,2064,2063.0,25.652120085358618
573,61254,12784,12783.0,25.58125966966152
574,62060,806,805.0,20.766163623034956
575,62250,190,189.0,33.88746610105038
576,62477,227,226.0,18.920978924036024
577,62633,156,155.0,24.524852934479714
578,62781,148,147.0,17.997814943790434
579,62940,159,158.0,13.279776656031608
580,65481,2541,2540.0,33.246879393458364
581,66106,625,624.0,32.17690180182457
